"","PassengerId","HomePlanet","CryoSleep","Cabin","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","Name","Transported"
"4122","4400_01","Mars","False","E/285/S","TRAPPIST-1e",32,"False",689,0,610,0,0,"Gibers Sepie","False"
"5373","5737_02","Europa","False","C/216/S","TRAPPIST-1e",35,"False",0,7636,0,353,705,"Lesaton Inicont","True"
"2943","3192_01","Earth","False","F/665/P","TRAPPIST-1e",20,"False",0,0,147,NA,0,"Dorie Brenney","False"
"4287","4567_01","Earth","False","F/939/P","TRAPPIST-1e",NA,"False",0,20,38,359,516,"Marine Flemaney","False"
"4030","4303_02","Earth","False","G/705/S","TRAPPIST-1e",38,"False",0,668,84,267,0,"Wally Popelase","False"
"7263","7767_01","Earth","True","G/1257/S","PSO J318.5-22",22,"False",0,0,0,0,0,"Curtle Oconley","True"
"2526","2709_04","Mars","False","F/523/S","TRAPPIST-1e",12,"",0,0,0,0,0,"Worms Ble","True"
"6485","6843_01","Europa","True","B/260/S","TRAPPIST-1e",21,"False",0,NA,0,0,0,"Acceleb Rimplighty","True"
"5500","5867_01","Earth","False","F/1212/P","TRAPPIST-1e",45,"False",NA,0,0,1501,24,"Noria Rocknight","False"
"7341","7853_02","Mars","False","E/515/S","TRAPPIST-1e",31,"False",166,0,297,835,0,"Gon Chpie","False"
"7776","8302_01","Earth","False","G/1340/S","TRAPPIST-1e",0,"False",0,0,0,0,0,"Leenny Burchrison","True"
"2204","2357_01","Earth","False","E/139/P","TRAPPIST-1e",20,"False",0,409,994,215,0,"Vandy Whitez","False"
"6115","6452_02","Earth","False","G/1044/P","TRAPPIST-1e",12,"False",NA,0,0,0,0,"Iree Woodwardy","True"
"743","0779_01","Earth","False","F/162/P","",21,"False",562,2,0,0,11,"Holey Rodger","False"
"3487","3748_01","Mars","True","F/774/P","TRAPPIST-1e",NA,"False",0,0,0,0,0,"Pot Gin","True"
"3832","4099_01","Earth","True","G/673/P","TRAPPIST-1e",NA,"False",0,0,0,0,0,"Willey Fryersonis","True"
"596","0618_02","Earth","False","F/131/P","PSO J318.5-22",21,"False",1,368,0,0,388,"Troyce Yorkland","False"
"1004","1068_01","Earth","True","G/167/S","PSO J318.5-22",38,"False",0,0,0,0,0,"Kayd Pughanders","False"
"1801","1918_02","Europa","True","A/23/S","TRAPPIST-1e",52,"False",0,0,0,0,0,"Sheleb Assibler","True"
"6787","7167_01","Europa","False","B/270/S","55 Cancri e",33,"False",0,3676,0,1743,1,"Dyonif Noxnuther","True"
"6084","6431_01","Earth","False","F/1334/P","55 Cancri e",20,"False",24,56,1,NA,468,"Melara Kramosley","False"
"7565","8085_01","Earth","False","F/1549/S","PSO J318.5-22",35,"False",635,3,0,NA,25,"Nandy Avisley","False"
"4763","5084_02","Europa","False","E/315/P","TRAPPIST-1e",32,"False",8151,2052,1919,7352,754,"Batrix Fuelightic","False"
"6189","6540_01","Earth","False","G/1059/P","TRAPPIST-1e",13,"False",0,671,0,8,0,"Fany Cleminglas","True"
"8669","9251_01","Mars","True","F/1793/S","TRAPPIST-1e",25,"False",0,0,0,0,0,"Melios Kashe","True"
"1164","1230_01","Earth","False","G/189/S","TRAPPIST-1e",38,"False",354,34,0,291,229,"Catha Gainebergan","False"
"7970","8514_01","Mars","","F/1748/P","TRAPPIST-1e",51,"False",870,28,278,154,1288,"Kie Ste","False"
"1911","2046_01","Earth","True","G/328/P","55 Cancri e",30,"False",0,0,0,0,0,"Luison Beston","False"
"5737","6080_01","Earth","False","G/989/S","TRAPPIST-1e",39,"False",657,225,0,NA,0,"Lyney Stephendsey","True"
"569","0594_02","","False","E/39/S","TRAPPIST-1e",24,"False",NA,4,0,670,113,"Cores Flynner","False"
"3219","3465_01","Mars","False","F/711/P","TRAPPIST-1e",19,"False",506,0,395,159,229,"Mone Flaie","False"
"2515","2701_01","Earth","True","G/428/S","PSO J318.5-22",20,"False",0,0,0,0,0,"Cliney Thorney","True"
"3200","3444_02","Europa","True","B/131/S","TRAPPIST-1e",16,"False",0,0,0,0,0,"Antitak Scerodbox","True"
"5011","5353_02","Europa","False","B/205/S","TRAPPIST-1e",39,"False",43,9365,144,0,118,"Weidus Reelest","True"
"5477","5842_01","Europa","True","C/220/S","55 Cancri e",28,"False",0,0,0,0,0,"Hekark Maging","True"
"4652","4952_01","Mars","True","F/939/S","TRAPPIST-1e",42,"False",0,0,0,0,0,"Neysma Rekle","True"
"4813","5133_05","Earth","False","F/1046/P","TRAPPIST-1e",26,"False",0,910,13,10,15,"Lynnon Pugherman","False"
"1291","1371_01","Mars","","D/44/P","TRAPPIST-1e",25,"False",591,466,0,0,0,"Dunch Kuche","False"
"5896","6250_01","Earth","False","G/1013/S","TRAPPIST-1e",28,"False",NA,0,887,0,0,"Elany Roses","True"
"2918","3162_02","Earth","False","F/596/S","TRAPPIST-1e",55,"False",0,0,5,0,2409,"Robyny Simonson","False"
"5255","5606_02","Europa","False","B/213/S","TRAPPIST-1e",31,"False",0,1219,7,104,1082,"Brab Dectory","True"
"7679","8199_01","Earth","False","G/1329/P","TRAPPIST-1e",19,"False",0,0,0,0,0,"Patha Drakeekss","False"
"1368","1439_02","Mars","False","D/52/S","TRAPPIST-1e",30,"False",806,100,9,NA,47,"Croo Lette","False"
"1945","2083_01","Earth","False","F/407/S","TRAPPIST-1e",24,"False",121,20,0,68,506,"Wen Gibbsonton","False"
"5175","5524_01","Earth","False","F/1060/S","55 Cancri e",36,"False",85,0,545,15,0,"Melica Hendrys","True"
"8658","9234_01","Earth","False","G/1500/P","TRAPPIST-1e",49,"False",6,1,638,1107,23,"Catha Bushins","False"
"4748","5064_01","Europa","False","A/62/S","55 Cancri e",22,"False",1961,82,0,3025,2406,"Alraiam Gocent","False"
"768","0808_01","Earth","False","E/57/S","TRAPPIST-1e",31,"False",159,110,701,0,10,"Benew Ramoran","False"
"8009","8572_01","Europa","False","A/89/P","TRAPPIST-1e",33,"False",0,739,0,140,6901,"Eltaird Hoorherve","False"
"118","0123_01","Earth","False","F/27/P","TRAPPIST-1e",18,"False",55,597,49,0,1,"Iree Fielson","False"
"3967","4231_01","Earth","False","F/791/S","55 Cancri e",24,"False",0,0,1435,10,0,"Therly Scottuez","True"
"5641","5995_01","Earth","True","G/967/P","PSO J318.5-22",33,"False",0,0,0,0,0,"Raque Burtiz","True"
"4771","5090_03","","False","G/821/P","PSO J318.5-22",12,"False",0,0,0,0,0,"Joyton Willy","True"
"3654","3927_01","Europa","False","C/142/S","55 Cancri e",38,"False",55,1258,0,650,10786,"Skyrmak Tionstious","False"
"3898","4174_01","Earth","False","F/857/P","TRAPPIST-1e",47,"False",59,1,327,557,0,"Coren Armstromez","False"
"7741","8260_03","Earth","True","G/1334/S","55 Cancri e",4,"False",0,0,0,0,0,"Melara Daviddley","True"
"1901","2032_01","Mars","True","F/402/P","TRAPPIST-1e",26,"False",0,0,0,0,0,"Powl Shcad","True"
"104","0110_01","Europa","False","","TRAPPIST-1e",32,"False",0,410,6,3929,764,"Graviph Aloubtled","False"
"398","0436_02","Earth","False","G/63/S","PSO J318.5-22",56,"False",46,11,0,622,0,"Lilace Hodes","False"
"4640","4940_01","Earth","True","G/805/S","",19,"False",0,0,0,0,0,"Dony Vantonson","True"
"2705","2894_01","Earth","False","F/599/P","PSO J318.5-22",24,"False",0,0,443,244,1,"Idace Hersons","False"
"5607","5967_03","Earth","False","G/965/P","TRAPPIST-1e",0,"False",0,0,0,0,0,"Britta Duranks","False"
"3452","3714_01","Mars","","F/702/S","TRAPPIST-1e",45,"False",48,1652,761,138,0,"All Harta","False"
"1479","1568_01","Earth","False","","TRAPPIST-1e",22,"False",1018,100,0,9,0,"Idace Burchrison","False"
"1926","2059_01","Earth","False","G/333/P","TRAPPIST-1e",55,"False",2,0,0,0,907,"Ellena Moodmandez","True"
"5165","5514_03","Earth","False","G/889/S","TRAPPIST-1e",27,"False",0,6,0,814,107,"Ton Monroellynn","True"
"162","0183_01","Earth","False","F/36/S","TRAPPIST-1e",37,"False",17,146,426,0,232,"Stany Weaves","True"
"2076","2224_01","Earth","False","F/435/S","TRAPPIST-1e",14,"False",0,600,0,204,0,"Dessie Polloantes","True"
"1946","2084_01","Europa","False","A/16/P","TRAPPIST-1e",40,"False",19,10,1,4759,6007,"Aston Boltund","False"
"7811","8338_01","Mars","True","F/1716/P","TRAPPIST-1e",21,"False",0,0,0,0,0,"Choney Empie","True"
"8664","9244_01","Earth","True","G/1489/S","PSO J318.5-22",13,"False",0,0,0,0,0,"Chrisa Francock","True"
"1046","1114_01","Mars","False","E/79/S","TRAPPIST-1e",38,"True",936,0,363,0,0,"Jet Kidne","False"
"5106","5455_01","Mars","False","E/344/P","55 Cancri e",13,"False",9920,0,180,130,571,"Varkes Nate","False"
"6950","7376_01","Europa","True","E/477/P","TRAPPIST-1e",26,"False",0,0,0,0,0,"Neutrin Mirinanty","True"
"2408","2589_04","Europa","False","C/91/P","TRAPPIST-1e",30,"True",0,632,0,673,2272,"Weias Meteet","False"
"8434","9008_02","Earth","True","F/1745/S","TRAPPIST-1e",25,"False",0,0,0,0,0,"Regory Herreras","False"
"4435","4712_01","Earth","True","G/764/P","PSO J318.5-22",61,"False",0,0,0,0,0,"Nichad Vinozarks","True"
"3762","4018_01","Earth","False","F/762/S","TRAPPIST-1e",20,"False",NA,1,0,20,42,"Jacky Bears","False"
"4975","5304_01","Mars","False","F/1019/S","TRAPPIST-1e",18,"False",1744,0,8,8,0,"Tench Brine","False"
"88","0092_03","Earth","True","G/9/P","TRAPPIST-1e",3,"False",0,0,0,0,0,"Tiney Hewson","True"
"997","1058_01","Earth","False","F/201/S","TRAPPIST-1e",19,"False",0,0,27,53,677,"Keithy Ingston","False"
"1461","1543_01","Europa","True","C/56/P","55 Cancri e",34,"False",0,0,0,0,0,"Izarkab Clidly","True"
"1486","1577_01","Earth","False","F/310/P","",23,"False",0,169,NA,0,0,"Keitha Grahangory","True"
"8259","8820_01","Earth","True","G/1429/P","TRAPPIST-1e",13,"False",0,0,0,0,0,"Isaacy Hahnstoneal","True"
"4374","4655_01","Europa","True","B/154/P","55 Cancri e",32,"False",0,0,0,0,0,"Ainkard Seflock","True"
"2039","2182_01","Europa","False","B/64/P","TRAPPIST-1e",31,"False",46,1935,0,995,1254,"Unukath Tiouserful","False"
"715","0754_01","Europa","True","D/31/P","55 Cancri e",22,"False",0,0,0,0,NA,"Atikard Fusimodent","True"
"5463","5823_01","Earth","True","G/944/S","55 Cancri e",18,"False",0,0,0,0,0,"Ronna Antoshipson","True"
"3421","3688_01","Mars","False","F/697/S","55 Cancri e",2,"False",0,0,0,0,0,"Tark Onbre","True"
"2489","2668_02","Earth","False","G/424/S","55 Cancri e",34,"False",0,382,0,87,236,"Adamie Ingston","False"
"3862","4140_01","Earth","False","F/851/P","PSO J318.5-22",23,"False",40,15,30,0,637,"Shan Fitzgerson","False"
"3439","3706_02","Mars","False","F/770/P","TRAPPIST-1e",18,"False",131,0,980,1,0,"Honda Kidie","True"
"824","0876_01","Earth","False","F/166/S","TRAPPIST-1e",35,"False",12,687,46,2,0,"Teryla Leodger","False"
"8426","8998_02","Earth","False","E/591/S","TRAPPIST-1e",47,"False",NA,1,0,967,5,"Jonaye Englence","False"
"6731","7097_02","Europa","False","A/75/P","TRAPPIST-1e",14,"False",0,3124,40,219,189,"Kumark Dedometeel","False"
"328","0368_02","Mars","True","F/82/P","TRAPPIST-1e",61,"False",0,0,0,0,0,"Batech Perte","True"
"221","0234_01","Earth","False","F/50/P","TRAPPIST-1e",43,"False",NA,888,0,0,0,"Keitha Josey","False"
"3905","4176_06","Mars","True","F/859/P","TRAPPIST-1e",13,"False",0,0,0,0,0,"Wafros Fla","True"
"7676","8192_01","Earth","False","F/1566/S","TRAPPIST-1e",18,"False",539,2,3,900,0,"Herry Mcphernard","False"
"6859","7253_01","Europa","False","D/225/P","TRAPPIST-1e",26,"False",0,896,0,690,1,"Alaron Obedaming","True"
"5849","6191_02","Europa","True","A/59/P","TRAPPIST-1e",NA,"False",0,0,0,0,0,"Lesaten Ametic","True"
"5746","6092_02","Earth","True","G/991/S","PSO J318.5-22",7,"False",0,0,0,0,0,"Antony Singtons","True"
"5881","6228_01","Earth","False","G/1007/S","TRAPPIST-1e",38,"False",0,709,39,62,0,"Yolas Maystuarey","True"
"7696","8211_01","Earth","True","G/1323/S","55 Cancri e",26,"False",NA,0,0,0,0,"Jodye Haynard","True"
"8208","8771_01","Earth","False","G/1421/P","TRAPPIST-1e",58,"False",0,805,3,3,0,"Ebonya Boyersons","False"
"913","0984_03","Earth","False","G/150/S","TRAPPIST-1e",23,"False",0,0,490,0,319,"Morrie Sweekstarks","False"
"3360","3610_02","Earth","False","F/680/S","TRAPPIST-1e",36,"False",5,NA,896,0,1,"Darrie Buckleinson","True"
"4481","4764_01","Earth","False","E/308/S","TRAPPIST-1e",22,"False",0,669,121,0,56,"Faithy Bookerson","True"
"2807","3027_01","Earth","True","G/493/P","TRAPPIST-1e",24,"False",0,0,0,0,0,"Tracia Fitzgerson","False"
"8082","8638_02","Earth","False","G/1402/P","TRAPPIST-1e",4,"False",0,0,0,0,0,"Janee Holliams","True"
"4443","4723_02","Earth","False","F/888/S","PSO J318.5-22",24,"False",154,7,241,213,453,"Gabrin Savaraldez","False"
"1331","1407_02","Earth","False","F/278/P","PSO J318.5-22",17,"False",8,222,3,401,0,"Derina Foxter","True"
"2502","2687_01","Earth","False","F/556/P","TRAPPIST-1e",51,"False",0,1347,0,43,0,"Carry Kimons","True"
"5568","5928_01","Earth","False","E/377/P","TRAPPIST-1e",20,"False",149,25,559,21,33,"Becca Slates","True"
"6907","7321_01","Mars","True","F/1518/P","TRAPPIST-1e",31,"False",0,NA,0,0,0,"Otlios Kra","True"
"1651","1748_03","Earth","False","G/287/P","TRAPPIST-1e",4,"False",0,0,0,0,0,"Keithy Burchrison","True"
"4927","5253_01","Earth","False","F/1009/S","TRAPPIST-1e",24,"False",290,64,413,35,0,"Annard Ashipeck","True"
"1500","1592_01","Europa","False","C/60/S","TRAPPIST-1e",35,"False",305,3621,0,320,341,"Ankabih Idivent","True"
"5809","6145_01","Europa","","C/231/S","55 Cancri e",NA,"False",3478,10,0,105,2383,"Benebah Asolipery","False"
"6365","6730_01","Earth","False","G/1096/S","TRAPPIST-1e",14,"False",0,6,791,49,0,"Dell Kerristicey","True"
"7134","7604_02","Mars","","F/1579/P","TRAPPIST-1e",23,"False",463,0,658,0,0,"Cousk Deeke","False"
"4761","5083_01","Earth","True","G/820/P","TRAPPIST-1e",22,"False",0,0,0,0,0,"Cary Pooles","False"
"3932","4197_02","Earth","False","F/786/S","TRAPPIST-1e",27,"False",0,867,0,128,363,"Stald Cooks","True"
"4256","4530_01","Earth","False","F/933/P","TRAPPIST-1e",20,"False",9,0,157,525,0,"Fanna Leonaldez","False"
"5710","6047_01","Earth","False","G/985/S","PSO J318.5-22",35,"False",508,0,0,57,243,"Sanney Russon","True"
"15","0011_01","Earth","False","F/2/P","TRAPPIST-1e",28,"False",8,974,12,2,7,"Elle Bertsontry","True"
"5240","5592_01","Mars","True","F/1161/P","55 Cancri e",53,"False",0,0,0,0,0,"Wheard Quith","True"
"2963","3210_02","Europa","False","E/211/S","55 Cancri e",20,"False",11,596,0,3583,266,"Aldun Clugeadry","False"
"3467","3732_03","Europa","True","A/43/S","TRAPPIST-1e",31,"False",0,0,0,0,0,"Luxonon Scoudelle","True"
"5683","6030_03","Earth","False","G/981/S","TRAPPIST-1e",13,"False",852,147,7,0,1,"Etha Ellson","True"
"7431","7945_01","Mars","True","F/1522/S","TRAPPIST-1e",21,"False",0,0,0,0,0,"Mitch Vloaf","True"
"347","0381_02","Europa","True","B/16/P","55 Cancri e",38,"False",0,0,NA,0,0,"Aston Mosteraked","True"
"6398","6757_01","Mars","False","F/1292/S","TRAPPIST-1e",53,"False",1964,0,635,0,0,"Eaturs Dato","False"
"6574","6932_01","Earth","False","G/1130/S","TRAPPIST-1e",20,"False",559,0,83,112,0,"Shaele Ewiseston","True"
"7085","7542_01","Earth","False","F/1442/S","TRAPPIST-1e",35,"False",4,53,0,0,844,"Gabria Batestonley","False"
"1150","1213_01","Earth","False","F/242/P","TRAPPIST-1e",51,"False",0,NA,800,0,4,"Lison Mckinsond","True"
"7316","7830_03","Earth","False","G/1268/S","TRAPPIST-1e",46,"False",0,NA,0,17,655,"Willah Belley","False"
"2872","3102_01","Europa","True","B/101/P","55 Cancri e",30,"False",0,0,0,0,0,"Tachba Mirinanty","True"
"2226","2384_05","Earth","True","G/383/S","TRAPPIST-1e",17,"False",0,0,0,NA,0,"Ronia Pollarkeeks","False"
"3520","3775_02","Mars","True","F/712/S","TRAPPIST-1e",46,"False",0,0,0,0,NA,"Colax Killé","True"
"8068","8624_01","Earth","False","F/1661/S","TRAPPIST-1e",46,"False",135,0,0,0,928,"Penne Kramorry","False"
"5552","5920_01","Earth","False","F/1223/P","TRAPPIST-1e",33,"False",48,94,756,308,0,"Celina Buckeenez","False"
"5097","5445_01","","False","F/1125/P","TRAPPIST-1e",61,"False",0,53,813,3,0,"Min Alfordonard","False"
"7470","7990_01","Earth","True","G/1294/P","55 Cancri e",21,"False",0,0,0,0,0,"Becca Dorsenry","True"
"8380","8959_01","Europa","True","C/298/P","TRAPPIST-1e",32,"False",0,0,0,0,0,"Wimps Unhearfus","True"
"2095","2239_01","Earth","False","F/439/S","PSO J318.5-22",26,"False",93,0,469,0,0,"Kencey Franchaney","True"
"2884","3118_01","Earth","True","G/510/P","TRAPPIST-1e",28,"False",0,0,0,0,0,"Sus Coolez","False"
"594","0615_03","Earth","True","G/92/S","55 Cancri e",3,"False",0,0,0,0,0,"Stance Hodes","True"
"6247","6611_01","Earth","False","E/421/P","55 Cancri e",41,"False",635,0,7,0,0,"Breney Philloway","True"
"1353","1425_02","Earth","True","G/220/P","TRAPPIST-1e",1,"False",0,0,0,0,0,"Mael Adavisons","True"
"8197","8762_01","Earth","False","G/1410/S","TRAPPIST-1e",30,"False",32,180,497,0,99,"Benry Cardner","True"
"5153","5504_01","Earth","False","F/1140/P","TRAPPIST-1e",22,"False",142,1307,0,0,0,"Greggy Benderez","False"
"3889","4171_01","Earth","True","G/686/P","TRAPPIST-1e",23,"False",0,0,0,0,0,"Candyn Mclardson","False"
"944","1005_01","Earth","False","G/156/S","TRAPPIST-1e",20,"False",0,0,4,9,773,"Coreee Juartis","False"
"3504","3761_01","","False","E/222/P","55 Cancri e",45,"False",824,2196,385,19,1113,"Nuscham Stingive","True"
"3706","3984_01","Earth","True","G/654/S","PSO J318.5-22",NA,"False",0,0,0,0,0,"Regory Wilsoney","True"
"1339","1417_01","Europa","False","C/54/S","TRAPPIST-1e",41,"False",0,184,0,1520,3358,"Alik Spedlinale","False"
"2209","2364_01","Earth","False","G/381/P","TRAPPIST-1e",44,"False",0,4,6,864,33,"Sta Roachez","True"
"302","0334_01","Mars","False","F/62/S","TRAPPIST-1e",29,"False",5715,2,211,1476,0,"Unfly Mushe","False"
"5952","6309_05","Earth","False","G/1023/S","55 Cancri e",7,"False",0,0,0,0,NA,"Vin Rodricker","True"
"8670","9252_01","Europa","False","B/301/P","55 Cancri e",26,"False",0,8160,205,0,438,"Alchium Stranbeate","True"
"1848","1976_01","Europa","False","B/82/S","55 Cancri e",23,"False",0,8037,NA,1,2,"Sadirab Craleve","True"
"2816","3033_01","Earth","False","G/479/S","PSO J318.5-22",21,"False",0,27,1181,0,513,"Hardy Wagnerray","False"
"3503","3760_01","Earth","True","G/613/P","PSO J318.5-22",21,"False",0,0,0,0,0,"Paulia Kennetty","True"
"1627","1721_01","Earth","False","F/341/P","TRAPPIST-1e",15,"False",320,36,5,0,640,"Frandy Alest","False"
"6599","6967_01","Europa","False","C/256/S","55 Cancri e",37,"False",0,9965,0,5697,676,"Winon Oilpfulle","False"
"7049","7505_01","Mars","False","F/1553/P","TRAPPIST-1e",51,"True",511,0,291,4212,0,"Ste Fone","False"
"1436","1511_03","Europa","False","B/63/S","TRAPPIST-1e",36,"False",0,2345,0,1966,27,"Maham Spandisket","False"
"4284","4563_01","Europa","True","C/169/S","55 Cancri e",19,"False",0,0,0,0,0,"Altanin Switud","True"
"4145","4427_02","Europa","False","D/141/S","TRAPPIST-1e",31,"False",0,46,0,209,2908,"Cheleon Dedentive","False"
"2216","2374_01","Mars","False","E/166/S","TRAPPIST-1e",20,"False",464,0,1432,0,0,"Gers Sames","True"
"6600","6968_01","Earth","False","F/1447/P","TRAPPIST-1e",13,"False",0,114,682,0,7,"Dandra Yanton","False"
"5272","5625_03","Mars","False","E/352/P","TRAPPIST-1e",15,"False",890,9,0,1250,57,"Ming Cart","False"
"7856","8383_01","Earth","True","G/1368/P","TRAPPIST-1e",46,"False",0,0,0,0,0,"Mariel Gibbsonton","False"
"2345","2524_01","Europa","True","D/74/P","55 Cancri e",27,"False",0,0,0,NA,0,"Ashir Witeronfus","True"
"7041","7498_03","Mars","False","F/1550/P","TRAPPIST-1e",27,"True",30,0,910,0,0,"Beals Cola","True"
"1227","1304_04","Earth","False","E/82/P","TRAPPIST-1e",9,"False",0,0,0,0,0,"Sethew Powenoble","True"
"7468","7988_01","Europa","True","B/313/S","TRAPPIST-1e",49,"False",0,0,0,0,0,"Phoros Wirdley","True"
"7252","7752_01","Earth","False","F/1480/S","PSO J318.5-22",18,"False",0,0,0,746,1,"Hery Berreranks","False"
"3819","4080_01","Earth","False","F/839/P","55 Cancri e",20,"False",719,0,10,0,0,"Carry Sancasey","False"
"7531","8052_02","Earth","False","G/1302/S","PSO J318.5-22",18,"False",0,0,0,1,335,"Perryl Serry","False"
"2275","2443_01","","False","D/72/P","TRAPPIST-1e",31,"False",1458,421,76,0,0,"","False"
"932","0993_01","Earth","False","F/184/S","55 Cancri e",24,"False",252,0,0,449,0,"Juanie Miltongson","False"
"8027","8592_01","Europa","False","D/268/P","TRAPPIST-1e",19,"False",0,1406,0,4199,2123,"Bosoneb Gulthler","False"
